"observation_id","scenario","gender","age","race","disability_status","nationality","education","field_of_study","cover_letter","recommendations","experience","chosen"
1,"choose","Non-binary",30,"White","Mental health history","Mexican","Associate Degree","Closely related","Personalized","Below average","0-2 years",0
2,"choose","Non-binary",35,"Hispanic","None stated","Indian","Master Degree","Somewhat related","Personalized","Average","10+ years",1
3,"choose","Male",40,"Asian","Mental health history","Mexican","Associate Degree","Unrelated","Unpersonalized","Below average","0-2 years",0
4,"choose","Non-binary",30,"White","Mental health history","Canadian","Bachelor Degree","Closely related","Personalized","Average","3-7 years",1
5,"choose","Non-binary",55,"White","Mental health history","Canadian","Master Degree","Unrelated","Personalized","Average","3-7 years",1
6,"choose","Female",40,"White","None stated","German","Master Degree","Somewhat related","Personalized","Below average","3-7 years",1
7,"choose","Non-binary",45,"Asian","None stated","Canadian","Master Degree","Somewhat related","Personalized","Average","0-2 years",0
8,"choose","Non-binary",40,"White","Mental health history","American","Master Degree","Unrelated","Unpersonalized","Below average","3-7 years",0
9,"choose","Non-binary",30,"Asian","Mental health history","German","Master Degree","Closely related","Personalized","Above average","0-2 years",1
10,"choose","Female",35,"White","None stated","German","Associate Degree","Closely related","Unpersonalized","Average","10+ years",1
11,"choose","Non-binary",40,"Hispanic","Mental health history","Mexican","Bachelor Degree","Unrelated","Unpersonalized","Average","0-2 years",0
12,"choose","Male",30,"White","None stated","American","Associate Degree","Somewhat related","Personalized","Below average","0-2 years",0
13,"choose","Female",35,"White","None stated","Indian","Bachelor Degree","Somewhat related","Unpersonalized","Above average","10+ years",1
14,"choose","Male",50,"Hispanic","None stated","Indian","Associate Degree","Somewhat related","Unpersonalized","Average","0-2 years",0
15,"choose","Male",45,"Hispanic","Physical disability","Canadian","Bachelor Degree","Closely related","Personalized","Above average","0-2 years",1
16,"choose","Female",35,"White","Mental health history","German","Associate Degree","Unrelated","Unpersonalized","Average","0-2 years",0
17,"choose","Non-binary",35,"Hispanic","None stated","German","Associate Degree","Unrelated","Personalized","Below average","0-2 years",0
18,"choose","Male",55,"Asian","Physical disability","Mexican","Associate Degree","Closely related","Unpersonalized","Below average","10+ years",1
19,"choose","Female",40,"Black","Physical disability","German","Master Degree","Somewhat related","Personalized","Below average","10+ years",1
20,"choose","Non-binary",35,"Asian","None stated","Mexican","Master Degree","Somewhat related","Unpersonalized","Average","0-2 years",0
21,"choose","Non-binary",55,"Hispanic","Mental health history","American","Associate Degree","Closely related","Personalized","Below average","0-2 years",0
22,"choose","Female",35,"Black","Mental health history","American","Bachelor Degree","Unrelated","Unpersonalized","Below average","10+ years",0
23,"choose","Female",55,"Black","Physical disability","Canadian","Master Degree","Closely related","Unpersonalized","Average","3-7 years",1
24,"choose","Female",40,"Asian","None stated","Mexican","Bachelor Degree","Unrelated","Unpersonalized","Below average","10+ years",0
25,"choose","Non-binary",45,"Asian","Mental health history","Mexican","Bachelor Degree","Unrelated","Personalized","Above average","10+ years",1
26,"choose","Male",55,"Asian","Mental health history","Mexican","Master Degree","Closely related","Unpersonalized","Below average","3-7 years",0
27,"choose","Non-binary",45,"Black","Mental health history","German","Bachelor Degree","Somewhat related","Personalized","Above average","3-7 years",1
28,"choose","Non-binary",35,"White","Physical disability","German","Master Degree","Unrelated","Unpersonalized","Average","0-2 years",0
29,"choose","Female",45,"Black","Mental health history","Indian","Bachelor Degree","Somewhat related","Personalized","Average","10+ years",1
30,"choose","Male",45,"Black","Physical disability","German","Master Degree","Unrelated","Unpersonalized","Above average","10+ years",0
31,"choose","Non-binary",40,"Hispanic","Mental health history","Canadian","Bachelor Degree","Somewhat related","Personalized","Below average","3-7 years",1
32,"choose","Female",55,"Black","Mental health history","Canadian","Associate Degree","Somewhat related","Unpersonalized","Above average","10+ years",0
33,"choose","Female",30,"Asian","Physical disability","Indian","Bachelor Degree","Unrelated","Personalized","Above average","0-2 years",0
34,"choose","Female",35,"White","Physical disability","German","Master Degree","Unrelated","Personalized","Average","10+ years",0
35,"choose","Female",40,"Asian","Physical disability","Mexican","Bachelor Degree","Somewhat related","Personalized","Above average","0-2 years",1
36,"choose","Male",30,"Black","None stated","Canadian","Bachelor Degree","Unrelated","Personalized","Below average","0-2 years",0
37,"choose","Male",50,"White","Physical disability","German","Master Degree","Somewhat related","Unpersonalized","Below average","0-2 years",0
38,"choose","Female",50,"Hispanic","Mental health history","Mexican","Associate Degree","Unrelated","Unpersonalized","Average","3-7 years",0
39,"choose","Non-binary",50,"Asian","Mental health history","German","Bachelor Degree","Somewhat related","Unpersonalized","Below average","10+ years",0
40,"choose","Non-binary",50,"Hispanic","Physical disability","American","Bachelor Degree","Somewhat related","Personalized","Above average","0-2 years",1
41,"choose","Male",35,"Hispanic","Physical disability","German","Associate Degree","Unrelated","Unpersonalized","Below average","10+ years",0
42,"choose","Female",55,"Asian","Physical disability","German","Master Degree","Somewhat related","Unpersonalized","Below average","10+ years",1
43,"choose","Female",30,"Black","None stated","Canadian","Master Degree","Somewhat related","Unpersonalized","Below average","10+ years",0
44,"choose","Female",30,"Black","Physical disability","American","Associate Degree","Unrelated","Unpersonalized","Below average","0-2 years",0
45,"choose","Male",30,"Asian","Physical disability","American","Associate Degree","Somewhat related","Unpersonalized","Average","10+ years",1
46,"choose","Non-binary",45,"Black","Mental health history","Indian","Bachelor Degree","Somewhat related","Unpersonalized","Below average","3-7 years",0
47,"choose","Male",35,"Black","Mental health history","American","Associate Degree","Closely related","Unpersonalized","Above average","10+ years",1
48,"choose","Male",55,"Black","Physical disability","German","Master Degree","Closely related","Unpersonalized","Average","10+ years",1
49,"choose","Non-binary",55,"Asian","Physical disability","American","Bachelor Degree","Unrelated","Unpersonalized","Below average","3-7 years",0
50,"choose","Non-binary",40,"White","None stated","Canadian","Master Degree","Unrelated","Personalized","Below average","3-7 years",0
51,"choose","Non-binary",45,"White","Physical disability","Mexican","Bachelor Degree","Somewhat related","Unpersonalized","Below average","0-2 years",0
52,"choose","Female",30,"Asian","Physical disability","Mexican","Associate Degree","Somewhat related","Personalized","Below average","10+ years",0
53,"choose","Male",35,"Asian","Mental health history","Canadian","Bachelor Degree","Somewhat related","Unpersonalized","Average","0-2 years",0
54,"choose","Male",45,"White","Mental health history","Canadian","Bachelor Degree","Unrelated","Unpersonalized","Below average","10+ years",0
55,"choose","Non-binary",50,"Black","None stated","Mexican","Bachelor Degree","Somewhat related","Unpersonalized","Average","3-7 years",1
56,"choose","Female",40,"Black","Mental health history","Canadian","Master Degree","Somewhat related","Personalized","Above average","0-2 years",1
57,"choose","Non-binary",50,"Asian","None stated","Indian","Associate Degree","Unrelated","Unpersonalized","Average","10+ years",0
58,"choose","Non-binary",30,"Asian","Mental health history","German","Bachelor Degree","Somewhat related","Unpersonalized","Below average","0-2 years",0
59,"choose","Female",30,"White","Physical disability","Canadian","Master Degree","Somewhat related","Personalized","Average","3-7 years",1
60,"choose","Non-binary",55,"Black","None stated","Canadian","Associate Degree","Unrelated","Unpersonalized","Below average","10+ years",0
61,"choose","Female",40,"Black","None stated","Indian","Bachelor Degree","Unrelated","Unpersonalized","Below average","3-7 years",0
62,"choose","Non-binary",40,"Asian","Mental health history","Mexican","Associate Degree","Unrelated","Unpersonalized","Above average","0-2 years",0
63,"choose","Non-binary",40,"Black","Mental health history","American","Master Degree","Unrelated","Personalized","Above average","3-7 years",1
64,"choose","Male",50,"Asian","Mental health history","German","Bachelor Degree","Closely related","Unpersonalized","Above average","3-7 years",1
65,"choose","Male",45,"White","Physical disability","German","Associate Degree","Somewhat related","Unpersonalized","Below average","10+ years",0
66,"choose","Non-binary",35,"White","Mental health history","Indian","Master Degree","Somewhat related","Unpersonalized","Average","0-2 years",0
67,"choose","Female",45,"Asian","Mental health history","German","Bachelor Degree","Unrelated","Personalized","Above average","10+ years",1
68,"choose","Male",40,"White","Mental health history","Mexican","Master Degree","Unrelated","Unpersonalized","Average","3-7 years",0
69,"choose","Male",40,"Black","None stated","German","Associate Degree","Closely related","Personalized","Below average","0-2 years",0
70,"choose","Non-binary",40,"Black","None stated","American","Associate Degree","Closely related","Unpersonalized","Average","10+ years",0
71,"choose","Non-binary",30,"Hispanic","Physical disability","Mexican","Master Degree","Unrelated","Personalized","Above average","10+ years",0
72,"choose","Female",55,"White","Physical disability","Indian","Associate Degree","Closely related","Unpersonalized","Below average","0-2 years",0
73,"choose","Female",50,"Hispanic","None stated","American","Master Degree","Unrelated","Personalized","Above average","3-7 years",0
74,"choose","Female",45,"Asian","Mental health history","Mexican","Bachelor Degree","Closely related","Unpersonalized","Average","0-2 years",1
75,"choose","Non-binary",50,"Asian","Mental health history","American","Bachelor Degree","Somewhat related","Unpersonalized","Below average","0-2 years",0
76,"choose","Male",30,"Asian","Mental health history","Mexican","Associate Degree","Somewhat related","Personalized","Above average","10+ years",1
77,"choose","Non-binary",40,"Asian","Physical disability","American","Associate Degree","Closely related","Unpersonalized","Average","0-2 years",0
78,"choose","Female",55,"Asian","Mental health history","German","Associate Degree","Closely related","Personalized","Average","10+ years",1
79,"choose","Female",40,"Black","Mental health history","American","Bachelor Degree","Somewhat related","Personalized","Above average","10+ years",1
80,"choose","Female",35,"Black","Physical disability","Mexican","Bachelor Degree","Closely related","Personalized","Above average","10+ years",1
81,"choose","Non-binary",30,"Hispanic","None stated","Indian","Associate Degree","Somewhat related","Unpersonalized","Below average","3-7 years",0
82,"choose","Non-binary",40,"White","Physical disability","American","Associate Degree","Somewhat related","Unpersonalized","Below average","0-2 years",0
83,"choose","Non-binary",50,"Black","Physical disability","Mexican","Master Degree","Unrelated","Personalized","Average","0-2 years",0
84,"choose","Female",50,"Hispanic","Mental health history","German","Master Degree","Unrelated","Unpersonalized","Below average","3-7 years",0
85,"choose","Female",50,"White","Physical disability","Indian","Bachelor Degree","Closely related","Personalized","Above average","3-7 years",1
86,"choose","Female",50,"Hispanic","Mental health history","Canadian","Associate Degree","Somewhat related","Personalized","Above average","10+ years",1
87,"choose","Female",40,"Asian","Physical disability","Indian","Bachelor Degree","Unrelated","Personalized","Below average","10+ years",0
88,"choose","Female",30,"Black","Physical disability","Mexican","Master Degree","Unrelated","Unpersonalized","Average","10+ years",0
89,"choose","Non-binary",40,"White","Physical disability","Mexican","Associate Degree","Closely related","Unpersonalized","Above average","0-2 years",0
90,"choose","Non-binary",35,"Hispanic","None stated","Canadian","Associate Degree","Unrelated","Personalized","Below average","3-7 years",0
91,"choose","Non-binary",45,"Black","Mental health history","Canadian","Bachelor Degree","Somewhat related","Personalized","Above average","10+ years",1
92,"choose","Non-binary",35,"Asian","None stated","Indian","Bachelor Degree","Unrelated","Personalized","Below average","10+ years",0
93,"choose","Female",30,"Black","Physical disability","Mexican","Associate Degree","Somewhat related","Personalized","Above average","10+ years",1
94,"choose","Non-binary",55,"Asian","None stated","Canadian","Associate Degree","Somewhat related","Unpersonalized","Below average","0-2 years",0
95,"choose","Male",40,"Black","Physical disability","American","Associate Degree","Closely related","Unpersonalized","Below average","10+ years",0
96,"choose","Non-binary",35,"Asian","Physical disability","American","Master Degree","Somewhat related","Personalized","Below average","3-7 years",1
97,"choose","Male",55,"Hispanic","Physical disability","Mexican","Master Degree","Closely related","Unpersonalized","Average","3-7 years",1
98,"choose","Non-binary",45,"Hispanic","Mental health history","Canadian","Associate Degree","Closely related","Unpersonalized","Average","3-7 years",1
99,"choose","Female",30,"Black","Physical disability","Mexican","Associate Degree","Unrelated","Unpersonalized","Above average","0-2 years",0
100,"choose","Non-binary",45,"Asian","Mental health history","Mexican","Associate Degree","Unrelated","Unpersonalized","Average","3-7 years",0
101,"choose","Female",45,"Hispanic","None stated","Indian","Bachelor Degree","Somewhat related","Personalized","Below average","3-7 years",1
102,"choose","Male",35,"Hispanic","None stated","Canadian","Associate Degree","Closely related","Unpersonalized","Above average","3-7 years",1
103,"choose","Non-binary",35,"Asian","Physical disability","Mexican","Master Degree","Somewhat related","Personalized","Average","0-2 years",0
104,"choose","Male",50,"Asian","Mental health history","Indian","Associate Degree","Closely related","Personalized","Average","3-7 years",1
105,"choose","Non-binary",50,"Asian","Physical disability","Canadian","Master Degree","Unrelated","Personalized","Above average","10+ years",1
106,"choose","Non-binary",50,"Asian","Physical disability","German","Associate Degree","Unrelated","Personalized","Average","3-7 years",0
107,"choose","Non-binary",30,"Hispanic","Physical disability","German","Bachelor Degree","Closely related","Personalized","Average","3-7 years",1
108,"choose","Non-binary",35,"Asian","Mental health history","Mexican","Associate Degree","Somewhat related","Personalized","Below average","10+ years",1
109,"choose","Male",55,"Asian","Mental health history","American","Associate Degree","Closely related","Personalized","Below average","10+ years",1
110,"choose","Non-binary",40,"Hispanic","None stated","Indian","Bachelor Degree","Somewhat related","Personalized","Below average","0-2 years",0
111,"choose","Female",55,"Asian","Mental health history","Mexican","Bachelor Degree","Closely related","Unpersonalized","Below average","10+ years",0
112,"choose","Male",30,"Asian","Physical disability","German","Bachelor Degree","Closely related","Personalized","Above average","10+ years",1
113,"choose","Male",30,"Hispanic","Mental health history","Indian","Associate Degree","Closely related","Unpersonalized","Average","0-2 years",0
114,"choose","Female",55,"Asian","Physical disability","Mexican","Associate Degree","Somewhat related","Personalized","Below average","10+ years",1
115,"choose","Non-binary",55,"White","None stated","American","Bachelor Degree","Somewhat related","Unpersonalized","Below average","3-7 years",0
116,"choose","Female",50,"Hispanic","None stated","German","Master Degree","Closely related","Unpersonalized","Below average","3-7 years",0
117,"choose","Female",30,"Asian","Physical disability","American","Bachelor Degree","Unrelated","Unpersonalized","Below average","10+ years",0
118,"choose","Non-binary",45,"Black","Mental health history","German","Bachelor Degree","Closely related","Personalized","Average","10+ years",1
119,"choose","Female",50,"Hispanic","Mental health history","American","Master Degree","Closely related","Personalized","Below average","3-7 years",1
120,"choose","Non-binary",55,"Asian","Mental health history","Indian","Associate Degree","Closely related","Unpersonalized","Below average","3-7 years",0
121,"choose","Non-binary",55,"Asian","Physical disability","American","Master Degree","Unrelated","Unpersonalized","Above average","3-7 years",1
122,"choose","Non-binary",45,"Black","None stated","German","Bachelor Degree","Unrelated","Unpersonalized","Average","0-2 years",0
123,"choose","Male",30,"Hispanic","Physical disability","Indian","Associate Degree","Unrelated","Personalized","Average","10+ years",0
124,"choose","Non-binary",30,"White","Mental health history","German","Associate Degree","Unrelated","Personalized","Average","3-7 years",1
