observation_id,scenario,gender,age,race,disability_status,nationality,education,field_of_study,cover_letter,recommendations,experience,chosen
1,1,Non-binary,30,White,Mental health history,Mexican,Associate Degree,Closely related,Personalized,Below average,0-2 years,0
2,1,Non-binary,35,Hispanic,None stated,Indian,Master Degree,Somewhat related,Personalized,Average,10+ years,1
3,1,Male,40,Asian,Mental health history,Mexican,Associate Degree,Unrelated,Unpersonalized,Below average,0-2 years,0
4,1,Non-binary,30,White,Mental health history,Canadian,Bachelor Degree,Closely related,Personalized,Average,3-7 years,1
5,1,Non-binary,55,White,Mental health history,Canadian,Master Degree,Unrelated,Personalized,Average,3-7 years,1
6,1,Female,40,White,None stated,German,Master Degree,Somewhat related,Personalized,Below average,3-7 years,1
7,1,Non-binary,45,Asian,None stated,Canadian,Master Degree,Somewhat related,Personalized,Average,0-2 years,0
8,1,Non-binary,40,White,Mental health history,American,Master Degree,Unrelated,Unpersonalized,Below average,3-7 years,0
9,1,Non-binary,30,Asian,Mental health history,German,Master Degree,Closely related,Personalized,Above average,0-2 years,1
10,1,Female,35,White,None stated,German,Associate Degree,Closely related,Unpersonalized,Average,10+ years,1
11,1,Non-binary,40,Hispanic,Mental health history,Mexican,Bachelor Degree,Unrelated,Unpersonalized,Average,0-2 years,0
12,1,Male,30,White,None stated,American,Associate Degree,Somewhat related,Personalized,Below average,0-2 years,0
13,1,Female,35,White,None stated,Indian,Bachelor Degree,Somewhat related,Unpersonalized,Above average,10+ years,1
14,1,Male,50,Hispanic,None stated,Indian,Associate Degree,Somewhat related,Unpersonalized,Average,0-2 years,0
15,1,Male,45,Hispanic,Physical disability,Canadian,Bachelor Degree,Closely related,Personalized,Above average,0-2 years,1
16,1,Female,35,White,Mental health history,German,Associate Degree,Unrelated,Unpersonalized,Average,0-2 years,0
17,1,Non-binary,35,Hispanic,None stated,German,Associate Degree,Unrelated,Personalized,Below average,0-2 years,0
18,1,Male,55,Asian,Physical disability,Mexican,Associate Degree,Closely related,Unpersonalized,Below average,10+ years,1
19,1,Female,40,Black,Physical disability,German,Master Degree,Somewhat related,Personalized,Below average,10+ years,1
20,1,Non-binary,35,Asian,None stated,Mexican,Master Degree,Somewhat related,Unpersonalized,Average,0-2 years,0
21,1,Non-binary,55,Hispanic,Mental health history,American,Associate Degree,Closely related,Personalized,Below average,0-2 years,0
22,1,Female,35,Black,Mental health history,American,Bachelor Degree,Unrelated,Unpersonalized,Below average,10+ years,0
23,1,Female,55,Black,Physical disability,Canadian,Master Degree,Closely related,Unpersonalized,Average,3-7 years,1
24,1,Female,40,Asian,None stated,Mexican,Bachelor Degree,Unrelated,Unpersonalized,Below average,10+ years,0
25,1,Non-binary,45,Asian,Mental health history,Mexican,Bachelor Degree,Unrelated,Personalized,Above average,10+ years,1
26,1,Male,55,Asian,Mental health history,Mexican,Master Degree,Closely related,Unpersonalized,Below average,3-7 years,0
27,1,Non-binary,45,Black,Mental health history,German,Bachelor Degree,Somewhat related,Personalized,Above average,3-7 years,1
28,1,Non-binary,35,White,Physical disability,German,Master Degree,Unrelated,Unpersonalized,Average,0-2 years,0
29,1,Female,45,Black,Mental health history,Indian,Bachelor Degree,Somewhat related,Personalized,Average,10+ years,1
30,1,Male,45,Black,Physical disability,German,Master Degree,Unrelated,Unpersonalized,Above average,10+ years,0
31,1,Non-binary,40,Hispanic,Mental health history,Canadian,Bachelor Degree,Somewhat related,Personalized,Below average,3-7 years,1
32,1,Female,55,Black,Mental health history,Canadian,Associate Degree,Somewhat related,Unpersonalized,Above average,10+ years,0
33,1,Female,30,Asian,Physical disability,Indian,Bachelor Degree,Unrelated,Personalized,Above average,0-2 years,0
34,1,Female,35,White,Physical disability,German,Master Degree,Unrelated,Personalized,Average,10+ years,0
35,1,Female,40,Asian,Physical disability,Mexican,Bachelor Degree,Somewhat related,Personalized,Above average,0-2 years,1
36,1,Male,30,Black,None stated,Canadian,Bachelor Degree,Unrelated,Personalized,Below average,0-2 years,0
37,1,Male,50,White,Physical disability,German,Master Degree,Somewhat related,Unpersonalized,Below average,0-2 years,0
38,1,Female,50,Hispanic,Mental health history,Mexican,Associate Degree,Unrelated,Unpersonalized,Average,3-7 years,0
39,1,Non-binary,50,Asian,Mental health history,German,Bachelor Degree,Somewhat related,Unpersonalized,Below average,10+ years,0
40,1,Non-binary,50,Hispanic,Physical disability,American,Bachelor Degree,Somewhat related,Personalized,Above average,0-2 years,1
41,1,Male,35,Hispanic,Physical disability,German,Associate Degree,Unrelated,Unpersonalized,Below average,10+ years,0
42,1,Female,55,Asian,Physical disability,German,Master Degree,Somewhat related,Unpersonalized,Below average,10+ years,1
43,1,Female,30,Black,None stated,Canadian,Master Degree,Somewhat related,Unpersonalized,Below average,10+ years,0
44,1,Female,30,Black,Physical disability,American,Associate Degree,Unrelated,Unpersonalized,Below average,0-2 years,0
45,1,Male,30,Asian,Physical disability,American,Associate Degree,Somewhat related,Unpersonalized,Average,10+ years,1
46,1,Non-binary,45,Black,Mental health history,Indian,Bachelor Degree,Somewhat related,Unpersonalized,Below average,3-7 years,0
47,1,Male,35,Black,Mental health history,American,Associate Degree,Closely related,Unpersonalized,Above average,10+ years,1
48,1,Male,55,Black,Physical disability,German,Master Degree,Closely related,Unpersonalized,Average,10+ years,1
49,1,Non-binary,55,Asian,Physical disability,American,Bachelor Degree,Unrelated,Unpersonalized,Below average,3-7 years,0
50,1,Non-binary,40,White,None stated,Canadian,Master Degree,Unrelated,Personalized,Below average,3-7 years,0
51,1,Non-binary,45,White,Physical disability,Mexican,Bachelor Degree,Somewhat related,Unpersonalized,Below average,0-2 years,0
52,1,Female,30,Asian,Physical disability,Mexican,Associate Degree,Somewhat related,Personalized,Below average,10+ years,0
53,1,Male,35,Asian,Mental health history,Canadian,Bachelor Degree,Somewhat related,Unpersonalized,Average,0-2 years,0
54,1,Male,45,White,Mental health history,Canadian,Bachelor Degree,Unrelated,Unpersonalized,Below average,10+ years,0
55,1,Non-binary,50,Black,None stated,Mexican,Bachelor Degree,Somewhat related,Unpersonalized,Average,3-7 years,1
56,1,Female,40,Black,Mental health history,Canadian,Master Degree,Somewhat related,Personalized,Above average,0-2 years,1
57,1,Non-binary,50,Asian,None stated,Indian,Associate Degree,Unrelated,Unpersonalized,Average,10+ years,0
58,1,Non-binary,30,Asian,Mental health history,German,Bachelor Degree,Somewhat related,Unpersonalized,Below average,0-2 years,0
59,1,Female,30,White,Physical disability,Canadian,Master Degree,Somewhat related,Personalized,Average,3-7 years,1
60,1,Non-binary,55,Black,None stated,Canadian,Associate Degree,Unrelated,Unpersonalized,Below average,10+ years,0
61,1,Female,40,Black,None stated,Indian,Bachelor Degree,Unrelated,Unpersonalized,Below average,3-7 years,0
62,1,Non-binary,40,Asian,Mental health history,Mexican,Associate Degree,Unrelated,Unpersonalized,Above average,0-2 years,0
63,1,Non-binary,40,Black,Mental health history,American,Master Degree,Unrelated,Personalized,Above average,3-7 years,1
64,1,Male,50,Asian,Mental health history,German,Bachelor Degree,Closely related,Unpersonalized,Above average,3-7 years,1
65,1,Male,45,White,Physical disability,German,Associate Degree,Somewhat related,Unpersonalized,Below average,10+ years,0
66,1,Non-binary,35,White,Mental health history,Indian,Master Degree,Somewhat related,Unpersonalized,Average,0-2 years,0
67,1,Female,45,Asian,Mental health history,German,Bachelor Degree,Unrelated,Personalized,Above average,10+ years,1
68,1,Male,40,White,Mental health history,Mexican,Master Degree,Unrelated,Unpersonalized,Average,3-7 years,0
69,1,Male,40,Black,None stated,German,Associate Degree,Closely related,Personalized,Below average,0-2 years,0
70,1,Non-binary,40,Black,None stated,American,Associate Degree,Closely related,Unpersonalized,Average,10+ years,0
71,1,Non-binary,30,Hispanic,Physical disability,Mexican,Master Degree,Unrelated,Personalized,Above average,10+ years,0
72,1,Female,55,White,Physical disability,Indian,Associate Degree,Closely related,Unpersonalized,Below average,0-2 years,0
