"observation_id","scenario","profile","gender","age","race","education","field_of_study","cover_letter","grades","experience","religion","chosen"
1,"choose","A","Female",20,"Asian","Master Degree","Unrelated","Unpersonalized","Below average","yes","Muslim",0
2,"choose","A","Female",20,"White","Master Degree","Unrelated","Personalized","Below average","no","Hindu",0
3,"choose","A","Female",20,"Asian","Associate Degree","Closely related","Unpersonalized","Below average","yes","Hindu",0
4,"choose","A","Male",60,"Asian","Bachelor Degree","Unrelated","Unpersonalized","Below average","no","Christian",0
5,"choose","A","Male",60,"Hispanic","Bachelor Degree","Somewhat related","Unpersonalized","Average","yes","Jewish",1
6,"choose","A","Female",40,"Black","Bachelor Degree","Somewhat related","Unpersonalized","Average","no","Christian",0
7,"choose","A","Male",50,"Black","Associate Degree","Closely related","Unpersonalized","Above average","no","Muslim",0
8,"choose","A","Male",60,"Black","Associate Degree","Unrelated","Personalized","Below average","no","Hindu",0
9,"choose","A","Female",30,"White","Associate Degree","Closely related","Unpersonalized","Above average","yes","Jewish",1
10,"choose","A","Male",30,"White","Bachelor Degree","Somewhat related","Unpersonalized","Average","yes","Muslim",1
11,"choose","A","Female",50,"Black","Bachelor Degree","Somewhat related","Personalized","Above average","yes","Christian",1
12,"choose","A","Female",40,"Hispanic","Master Degree","Somewhat related","Personalized","Average","no","Christian",0
13,"choose","A","Male",40,"Hispanic","Bachelor Degree","Closely related","Personalized","Average","no","Jewish",0
14,"choose","A","Female",20,"White","Master Degree","Closely related","Unpersonalized","Average","no","Hindu",1
15,"choose","A","Male",50,"Hispanic","Bachelor Degree","Somewhat related","Personalized","Below average","yes","Christian",1
16,"choose","A","Male",20,"Black","Master Degree","Closely related","Unpersonalized","Above average","no","Jewish",1
17,"choose","A","Female",50,"White","Bachelor Degree","Unrelated","Unpersonalized","Above average","no","Christian",0
18,"choose","A","Male",30,"Hispanic","Associate Degree","Somewhat related","Unpersonalized","Below average","yes","Hindu",0
19,"choose","A","Male",60,"Hispanic","Master Degree","Closely related","Unpersonalized","Average","no","Jewish",0
20,"choose","A","Female",60,"White","Associate Degree","Closely related","Unpersonalized","Average","yes","Christian",1
