observation_id,scenario,gender,age,race,disability_status,nationality,education,field_of_study,cover_letter,recommendations,experience,chosen
1,1,Female,40,Asian,Mental health history,Canadian,Master Degree,Somewhat related,Unpersonalized,Average,10+ years,0
2,1,Male,30,Asian,Mental health history,German,Bachelor Degree,Unrelated,Personalized,Average,10+ years,0
3,1,Male,45,Asian,Mental health history,German,Bachelor Degree,Closely related,Unpersonalized,Below average,0-2 years,0
4,1,Female,50,Asian,None stated,Mexican,Master Degree,Closely related,Personalized,Above average,0-2 years,0
5,1,Male,40,Hispanic,None stated,Mexican,Associate Degree,Unrelated,Personalized,Average,10+ years,0
6,1,Female,30,Asian,None stated,American,Associate Degree,Somewhat related,Personalized,Above average,3-7 years,0
7,1,Non-binary,30,White,None stated,Canadian,Associate Degree,Closely related,Personalized,Above average,10+ years,1
8,1,Male,45,Hispanic,Physical disability,Mexican,Master Degree,Closely related,Personalized,Average,10+ years,1
9,1,Female,35,White,Physical disability,Indian,Master Degree,Somewhat related,Personalized,Average,10+ years,1
10,1,Non-binary,50,Black,Physical disability,Canadian,Master Degree,Unrelated,Personalized,Average,3-7 years,0
11,1,Male,55,Asian,Mental health history,American,Associate Degree,Unrelated,Unpersonalized,Average,3-7 years,0
12,1,Female,50,Black,None stated,Canadian,Associate Degree,Somewhat related,Unpersonalized,Below average,10+ years,0
13,1,Male,35,White,Mental health history,Indian,Associate Degree,Somewhat related,Unpersonalized,Average,0-2 years,0
14,1,Male,45,Hispanic,Mental health history,Mexican,Bachelor Degree,Closely related,Unpersonalized,Above average,0-2 years,0
15,1,Non-binary,30,Hispanic,Physical disability,Mexican,Master Degree,Unrelated,Unpersonalized,Below average,10+ years,0
16,1,Female,40,Asian,Physical disability,Mexican,Bachelor Degree,Somewhat related,Unpersonalized,Average,0-2 years,0
17,1,Female,35,Black,Mental health history,German,Bachelor Degree,Somewhat related,Unpersonalized,Average,3-7 years,0
18,1,Non-binary,45,Hispanic,Physical disability,German,Master Degree,Unrelated,Unpersonalized,Above average,3-7 years,0
19,1,Female,40,Hispanic,Mental health history,American,Bachelor Degree,Somewhat related,Personalized,Average,0-2 years,0
20,1,Female,45,Asian,None stated,American,Bachelor Degree,Unrelated,Personalized,Below average,3-7 years,0
21,1,Male,50,Asian,Physical disability,American,Master Degree,Unrelated,Personalized,Above average,10+ years,0
22,1,Female,50,Hispanic,Mental health history,Canadian,Associate Degree,Closely related,Personalized,Above average,3-7 years,0
23,1,Non-binary,45,Asian,Physical disability,German,Master Degree,Somewhat related,Personalized,Below average,0-2 years,0
24,1,Non-binary,30,Asian,None stated,Indian,Master Degree,Somewhat related,Personalized,Above average,0-2 years,0
25,1,Male,30,White,Mental health history,Indian,Bachelor Degree,Unrelated,Unpersonalized,Average,0-2 years,0
26,1,Female,50,White,Mental health history,American,Bachelor Degree,Unrelated,Unpersonalized,Above average,10+ years,0
27,1,Non-binary,45,Asian,Mental health history,German,Associate Degree,Somewhat related,Personalized,Below average,0-2 years,0
28,1,Male,50,Hispanic,Physical disability,Indian,Bachelor Degree,Somewhat related,Unpersonalized,Below average,3-7 years,0
29,1,Male,30,Asian,None stated,Indian,Associate Degree,Somewhat related,Unpersonalized,Below average,0-2 years,0
30,1,Male,35,Hispanic,Physical disability,German,Master Degree,Somewhat related,Unpersonalized,Above average,10+ years,0
31,1,Female,50,Hispanic,None stated,Mexican,Bachelor Degree,Unrelated,Personalized,Above average,0-2 years,0
32,1,Female,40,Black,None stated,Indian,Associate Degree,Unrelated,Personalized,Above average,0-2 years,0
33,1,Male,50,Black,Physical disability,German,Master Degree,Unrelated,Personalized,Below average,3-7 years,0
34,1,Female,45,Asian,None stated,Canadian,Master Degree,Somewhat related,Personalized,Below average,3-7 years,0
35,1,Non-binary,40,Black,None stated,Indian,Master Degree,Somewhat related,Personalized,Below average,10+ years,0
36,1,Male,50,White,Physical disability,Mexican,Master Degree,Unrelated,Personalized,Below average,0-2 years,0
37,1,Non-binary,50,Hispanic,Mental health history,Canadian,Associate Degree,Closely related,Unpersonalized,Average,10+ years,0
38,1,Non-binary,50,Asian,Mental health history,Mexican,Associate Degree,Somewhat related,Unpersonalized,Average,10+ years,0
39,1,Male,40,Hispanic,Mental health history,Indian,Bachelor Degree,Unrelated,Unpersonalized,Above average,3-7 years,0
40,1,Male,35,Hispanic,Physical disability,German,Master Degree,Somewhat related,Unpersonalized,Above average,3-7 years,0
41,1,Non-binary,40,Asian,Physical disability,Indian,Associate Degree,Unrelated,Unpersonalized,Average,10+ years,0
42,1,Female,30,Asian,None stated,Canadian,Bachelor Degree,Somewhat related,Unpersonalized,Average,10+ years,0
43,1,Female,35,Hispanic,Physical disability,German,Associate Degree,Closely related,Personalized,Below average,3-7 years,0
44,1,Non-binary,50,Asian,Mental health history,Canadian,Associate Degree,Unrelated,Unpersonalized,Average,3-7 years,0
45,1,Male,35,Asian,Mental health history,Indian,Bachelor Degree,Unrelated,Personalized,Average,0-2 years,0
46,1,Male,50,White,None stated,Mexican,Bachelor Degree,Unrelated,Personalized,Average,0-2 years,0
47,1,Non-binary,50,Black,Physical disability,German,Master Degree,Closely related,Personalized,Average,3-7 years,0
48,1,Non-binary,35,Hispanic,Physical disability,Canadian,Associate Degree,Unrelated,Personalized,Above average,0-2 years,0
49,1,Non-binary,55,Black,Physical disability,German,Associate Degree,Unrelated,Unpersonalized,Below average,0-2 years,0
50,1,Female,35,Black,Mental health history,Canadian,Associate Degree,Unrelated,Unpersonalized,Above average,3-7 years,0
51,1,Non-binary,50,Asian,Physical disability,American,Associate Degree,Unrelated,Unpersonalized,Average,10+ years,0
52,1,Non-binary,35,Hispanic,Mental health history,American,Master Degree,Closely related,Personalized,Below average,10+ years,1
53,1,Female,50,Asian,None stated,Canadian,Master Degree,Somewhat related,Unpersonalized,Above average,0-2 years,0
54,1,Non-binary,30,Black,Physical disability,Indian,Associate Degree,Somewhat related,Personalized,Above average,3-7 years,0
55,1,Female,55,White,Mental health history,German,Bachelor Degree,Unrelated,Unpersonalized,Average,0-2 years,0
56,1,Male,50,Hispanic,None stated,Canadian,Bachelor Degree,Somewhat related,Unpersonalized,Above average,10+ years,0
57,1,Male,50,Black,Mental health history,German,Master Degree,Closely related,Personalized,Below average,3-7 years,0
58,1,Non-binary,50,Black,Mental health history,Indian,Associate Degree,Closely related,Personalized,Below average,0-2 years,0
59,1,Male,50,White,Physical disability,Indian,Master Degree,Unrelated,Unpersonalized,Average,3-7 years,0
60,1,Female,55,Asian,Physical disability,Indian,Bachelor Degree,Unrelated,Unpersonalized,Above average,3-7 years,0
61,1,Non-binary,45,White,Physical disability,German,Master Degree,Somewhat related,Unpersonalized,Above average,10+ years,0
62,1,Male,35,Hispanic,None stated,American,Master Degree,Closely related,Unpersonalized,Above average,3-7 years,0
63,1,Female,50,White,Physical disability,Mexican,Bachelor Degree,Somewhat related,Unpersonalized,Average,10+ years,0
64,1,Male,40,Asian,Physical disability,Indian,Associate Degree,Somewhat related,Personalized,Below average,3-7 years,0
65,1,Male,35,Black,None stated,American,Associate Degree,Somewhat related,Personalized,Below average,10+ years,0
66,1,Female,40,White,Mental health history,American,Bachelor Degree,Closely related,Unpersonalized,Average,10+ years,0
67,1,Female,40,Asian,None stated,Mexican,Master Degree,Closely related,Unpersonalized,Average,0-2 years,0
68,1,Male,45,Asian,Mental health history,Canadian,Master Degree,Unrelated,Unpersonalized,Average,10+ years,0
69,1,Female,55,Asian,Mental health history,Canadian,Bachelor Degree,Closely related,Personalized,Above average,3-7 years,1
70,1,Male,30,White,Physical disability,Mexican,Bachelor Degree,Somewhat related,Unpersonalized,Average,0-2 years,0
71,1,Male,30,Hispanic,Physical disability,American,Master Degree,Unrelated,Unpersonalized,Below average,10+ years,0
72,1,Male,55,Hispanic,None stated,Canadian,Master Degree,Somewhat related,Unpersonalized,Above average,3-7 years,0
73,1,Female,40,Black,None stated,American,Master Degree,Somewhat related,Unpersonalized,Above average,10+ years,1
74,1,Non-binary,35,White,None stated,German,Bachelor Degree,Closely related,Unpersonalized,Below average,3-7 years,0
75,1,Male,55,White,Mental health history,American,Bachelor Degree,Somewhat related,Personalized,Above average,3-7 years,0
76,1,Male,50,Asian,Physical disability,Indian,Associate Degree,Closely related,Personalized,Above average,3-7 years,0
