observation_id,scenario,gender,age,race,disability_status,nationality,annual_income,credit_score,employment_length,existing_debt,requested_amount,chosen
1,1,Non-binary,40,Black,Mental health history,German,"$95,000",Excellent,Less than 1 year,Low,"$15,000",1
2,1,Female,35,White,None stated,Indian,"$35,000",Fair,2-5 years,Low,"$30,000",0
3,1,Female,55,White,Mental health history,Mexican,"$60,000",Good,6+ years,Moderate,"$30,000",1
4,1,Non-binary,45,White,None stated,Canadian,"$60,000",Good,2-5 years,Low,"$5,000",1
5,1,Male,50,Hispanic,Physical disability,Indian,"$95,000",Fair,2-5 years,High,"$15,000",0
6,1,Non-binary,50,Hispanic,Mental health history,Indian,"$35,000",Good,6+ years,Moderate,"$30,000",1
7,1,Non-binary,45,White,Physical disability,German,"$35,000",Good,Less than 1 year,High,"$30,000",0
8,1,Non-binary,30,Asian,Physical disability,Indian,"$35,000",Excellent,Less than 1 year,Moderate,"$15,000",1
9,1,Female,40,Black,None stated,German,"$140,000",Fair,Less than 1 year,Low,"$5,000",0
10,1,Male,30,Hispanic,Mental health history,German,"$140,000",Excellent,6+ years,Moderate,"$15,000",1
11,1,Female,35,Asian,None stated,Canadian,"$35,000",Fair,2-5 years,High,"$15,000",0
12,1,Non-binary,35,Black,Mental health history,American,"$35,000",Good,Less than 1 year,Low,"$15,000",1
13,1,Female,30,White,Physical disability,Indian,"$60,000",Fair,Less than 1 year,Low,"$15,000",0
14,1,Male,35,Asian,Physical disability,Indian,"$95,000",Good,2-5 years,High,"$5,000",0
15,1,Female,30,Black,Physical disability,German,"$140,000",Good,6+ years,Low,"$5,000",1
16,1,Non-binary,40,Hispanic,None stated,Mexican,"$95,000",Excellent,6+ years,Low,"$30,000",1
17,1,Female,50,Black,None stated,Mexican,"$95,000",Good,Less than 1 year,Moderate,"$5,000",1
18,1,Non-binary,55,White,Physical disability,Mexican,"$95,000",Excellent,2-5 years,Low,"$15,000",1
19,1,Male,45,Black,Physical disability,Canadian,"$60,000",Fair,2-5 years,Moderate,"$15,000",0
20,1,Male,50,White,Physical disability,American,"$60,000",Good,Less than 1 year,Moderate,"$15,000",1
21,1,Non-binary,45,Hispanic,None stated,Canadian,"$35,000",Excellent,2-5 years,High,"$5,000",1
22,1,Non-binary,40,Hispanic,Mental health history,American,"$140,000",Fair,Less than 1 year,High,"$15,000",0
23,1,Male,55,White,Mental health history,German,"$95,000",Good,6+ years,Low,"$30,000",1
24,1,Male,55,Black,None stated,American,"$60,000",Good,6+ years,Moderate,"$30,000",1
25,1,Female,50,Asian,Mental health history,German,"$60,000",Good,2-5 years,Moderate,"$5,000",1
26,1,Female,40,Black,Physical disability,Mexican,"$95,000",Fair,6+ years,Moderate,"$5,000",0
27,1,Non-binary,55,Asian,Mental health history,Mexican,"$140,000",Excellent,6+ years,Moderate,"$5,000",1
28,1,Non-binary,35,Black,None stated,Mexican,"$95,000",Excellent,2-5 years,Moderate,"$5,000",1
29,1,Female,35,Black,None stated,American,"$60,000",Fair,2-5 years,Low,"$15,000",1
