observation_id,scenario,gender,age,race,disability_status,nationality,education,field_of_study,cover_letter,recommendations,experience,chosen
1,1,Female,30,Hispanic,Mental health history,Indian,Master Degree,Somewhat related,Unpersonalized,Below average,3-7 years,1
2,1,Non-binary,50,White,Physical disability,German,Bachelor Degree,Closely related,Personalized,Below average,10+ years,1
3,1,Non-binary,50,Black,None stated,American,Associate Degree,Somewhat related,Personalized,Above average,10+ years,1
4,1,Non-binary,30,Hispanic,Mental health history,Mexican,Master Degree,Somewhat related,Personalized,Below average,3-7 years,0
5,1,Non-binary,30,Black,Physical disability,Indian,Bachelor Degree,Unrelated,Personalized,Above average,0-2 years,0
6,1,Male,50,Asian,Mental health history,German,Master Degree,Unrelated,Unpersonalized,Below average,10+ years,0
7,1,Male,35,White,None stated,German,Bachelor Degree,Unrelated,Unpersonalized,Average,3-7 years,0
8,1,Male,35,Hispanic,None stated,Indian,Master Degree,Somewhat related,Personalized,Below average,0-2 years,0
9,1,Female,30,White,None stated,Mexican,Associate Degree,Unrelated,Unpersonalized,Average,10+ years,0
10,1,Male,45,Hispanic,Physical disability,Mexican,Master Degree,Somewhat related,Personalized,Average,10+ years,1
11,1,Non-binary,30,Black,Physical disability,Mexican,Associate Degree,Somewhat related,Personalized,Below average,0-2 years,0
12,1,Male,40,Hispanic,Physical disability,American,Master Degree,Closely related,Unpersonalized,Below average,10+ years,0
13,1,Female,40,Asian,None stated,American,Master Degree,Unrelated,Unpersonalized,Above average,0-2 years,0
14,1,Female,55,Asian,Physical disability,Indian,Bachelor Degree,Unrelated,Personalized,Average,10+ years,1
15,1,Female,30,Asian,None stated,Canadian,Bachelor Degree,Somewhat related,Unpersonalized,Above average,0-2 years,0
16,1,Non-binary,50,Black,Mental health history,Indian,Associate Degree,Closely related,Personalized,Below average,0-2 years,0
17,1,Non-binary,30,Hispanic,None stated,Indian,Bachelor Degree,Unrelated,Unpersonalized,Below average,3-7 years,0
18,1,Non-binary,35,Hispanic,Physical disability,Indian,Master Degree,Closely related,Unpersonalized,Below average,10+ years,0
19,1,Female,55,White,Physical disability,Indian,Associate Degree,Somewhat related,Personalized,Above average,10+ years,1
20,1,Female,55,Black,Physical disability,Canadian,Bachelor Degree,Unrelated,Unpersonalized,Average,10+ years,0
21,1,Male,35,White,None stated,German,Associate Degree,Unrelated,Personalized,Average,0-2 years,0
22,1,Male,55,Asian,None stated,American,Associate Degree,Unrelated,Personalized,Above average,0-2 years,0
23,1,Female,55,Hispanic,Mental health history,Indian,Associate Degree,Closely related,Unpersonalized,Average,10+ years,1
24,1,Non-binary,30,Asian,None stated,Indian,Bachelor Degree,Unrelated,Unpersonalized,Below average,10+ years,0
25,1,Non-binary,35,Asian,None stated,American,Master Degree,Unrelated,Unpersonalized,Average,10+ years,0
26,1,Male,35,Hispanic,Mental health history,American,Master Degree,Somewhat related,Unpersonalized,Above average,0-2 years,0
27,1,Male,40,Hispanic,None stated,American,Bachelor Degree,Closely related,Unpersonalized,Above average,10+ years,1
28,1,Male,35,Black,Physical disability,Indian,Associate Degree,Somewhat related,Personalized,Average,10+ years,1
29,1,Female,45,White,Mental health history,German,Bachelor Degree,Somewhat related,Unpersonalized,Average,0-2 years,0
30,1,Female,45,Black,None stated,Mexican,Master Degree,Unrelated,Unpersonalized,Below average,3-7 years,0
31,1,Female,45,Asian,Mental health history,American,Bachelor Degree,Somewhat related,Unpersonalized,Average,10+ years,1
32,1,Male,30,Hispanic,Physical disability,Indian,Master Degree,Somewhat related,Personalized,Average,10+ years,1
33,1,Non-binary,50,Black,None stated,American,Associate Degree,Closely related,Personalized,Below average,3-7 years,0
34,1,Male,30,Black,Physical disability,German,Bachelor Degree,Unrelated,Unpersonalized,Above average,10+ years,1
35,1,Non-binary,45,Asian,Physical disability,German,Bachelor Degree,Somewhat related,Unpersonalized,Above average,0-2 years,0
36,1,Non-binary,30,Asian,Mental health history,Mexican,Master Degree,Unrelated,Personalized,Average,3-7 years,1
37,1,Female,40,Hispanic,Mental health history,American,Associate Degree,Unrelated,Personalized,Below average,0-2 years,0
38,1,Male,35,Black,Mental health history,Canadian,Master Degree,Unrelated,Unpersonalized,Below average,10+ years,0
39,1,Male,45,White,Physical disability,Mexican,Master Degree,Unrelated,Personalized,Above average,0-2 years,0
40,1,Male,45,Asian,Mental health history,German,Associate Degree,Somewhat related,Unpersonalized,Below average,10+ years,0
41,1,Female,40,Asian,None stated,Mexican,Associate Degree,Closely related,Unpersonalized,Below average,10+ years,0
42,1,Male,45,Asian,None stated,Indian,Associate Degree,Closely related,Personalized,Below average,10+ years,1
43,1,Male,55,Asian,Physical disability,Canadian,Associate Degree,Unrelated,Personalized,Below average,10+ years,0
44,1,Male,40,Hispanic,Mental health history,Canadian,Master Degree,Unrelated,Unpersonalized,Above average,3-7 years,0
45,1,Male,35,White,None stated,German,Master Degree,Unrelated,Unpersonalized,Below average,10+ years,0
46,1,Non-binary,40,Asian,None stated,Canadian,Master Degree,Unrelated,Unpersonalized,Average,0-2 years,0
47,1,Female,40,Black,Mental health history,Indian,Associate Degree,Somewhat related,Unpersonalized,Above average,3-7 years,0
48,1,Non-binary,50,Hispanic,None stated,Mexican,Associate Degree,Unrelated,Unpersonalized,Above average,10+ years,0
49,1,Non-binary,45,Hispanic,None stated,Canadian,Associate Degree,Somewhat related,Unpersonalized,Below average,10+ years,0
50,1,Male,35,Asian,Mental health history,Mexican,Associate Degree,Unrelated,Unpersonalized,Below average,10+ years,0
51,1,Male,35,Black,Mental health history,Indian,Master Degree,Unrelated,Personalized,Above average,10+ years,0
52,1,Male,55,Black,None stated,Canadian,Associate Degree,Unrelated,Personalized,Below average,10+ years,1
53,1,Male,40,Black,Mental health history,Indian,Master Degree,Unrelated,Personalized,Average,0-2 years,0
54,1,Non-binary,30,Hispanic,None stated,Mexican,Master Degree,Somewhat related,Personalized,Above average,0-2 years,1
55,1,Male,40,Hispanic,Mental health history,Mexican,Master Degree,Somewhat related,Personalized,Above average,0-2 years,1
56,1,Male,50,Asian,Physical disability,Mexican,Bachelor Degree,Unrelated,Personalized,Above average,0-2 years,0
57,1,Non-binary,45,Black,Physical disability,Indian,Bachelor Degree,Somewhat related,Personalized,Above average,3-7 years,1
58,1,Female,45,Asian,Mental health history,Canadian,Bachelor Degree,Closely related,Personalized,Average,0-2 years,1
59,1,Male,30,Asian,Physical disability,Canadian,Master Degree,Closely related,Unpersonalized,Average,3-7 years,1
60,1,Female,30,Asian,Mental health history,Mexican,Associate Degree,Somewhat related,Personalized,Average,0-2 years,0
61,1,Male,30,Black,Physical disability,Indian,Bachelor Degree,Unrelated,Unpersonalized,Average,3-7 years,0
62,1,Male,55,Hispanic,Mental health history,Canadian,Associate Degree,Unrelated,Personalized,Average,10+ years,1
63,1,Female,35,Hispanic,Mental health history,German,Associate Degree,Closely related,Unpersonalized,Above average,0-2 years,0
64,1,Male,55,White,None stated,Indian,Master Degree,Closely related,Unpersonalized,Above average,3-7 years,1
65,1,Non-binary,45,Hispanic,Physical disability,German,Bachelor Degree,Closely related,Unpersonalized,Above average,0-2 years,0
66,1,Male,35,White,Mental health history,Mexican,Master Degree,Somewhat related,Personalized,Above average,10+ years,1
67,1,Non-binary,35,Hispanic,Mental health history,Mexican,Master Degree,Closely related,Personalized,Average,3-7 years,1
68,1,Non-binary,40,Hispanic,Mental health history,German,Bachelor Degree,Closely related,Unpersonalized,Average,10+ years,1
69,1,Non-binary,55,Asian,None stated,German,Master Degree,Closely related,Personalized,Above average,3-7 years,1
70,1,Female,55,Hispanic,None stated,Canadian,Associate Degree,Closely related,Unpersonalized,Average,10+ years,1
71,1,Non-binary,45,White,None stated,German,Bachelor Degree,Somewhat related,Personalized,Below average,0-2 years,0
72,1,Male,40,Asian,Physical disability,Mexican,Associate Degree,Unrelated,Personalized,Above average,3-7 years,1
73,1,Male,45,White,Physical disability,American,Master Degree,Unrelated,Personalized,Above average,0-2 years,0
74,1,Female,35,White,None stated,German,Bachelor Degree,Closely related,Unpersonalized,Above average,0-2 years,0
75,1,Non-binary,35,Hispanic,None stated,American,Bachelor Degree,Unrelated,Personalized,Below average,0-2 years,0
76,1,Male,30,Hispanic,Mental health history,American,Associate Degree,Closely related,Unpersonalized,Below average,10+ years,0
77,1,Non-binary,30,White,None stated,German,Bachelor Degree,Unrelated,Personalized,Above average,0-2 years,0
78,1,Female,45,Asian,None stated,Mexican,Master Degree,Unrelated,Unpersonalized,Below average,0-2 years,0
79,1,Female,45,White,Mental health history,American,Bachelor Degree,Unrelated,Unpersonalized,Average,0-2 years,0
80,1,Female,50,Asian,None stated,Mexican,Bachelor Degree,Unrelated,Unpersonalized,Average,3-7 years,0
81,1,Male,40,Black,Physical disability,Indian,Associate Degree,Unrelated,Personalized,Below average,0-2 years,0
82,1,Male,30,Asian,None stated,Indian,Master Degree,Unrelated,Unpersonalized,Below average,3-7 years,0
83,1,Male,55,Black,None stated,Canadian,Associate Degree,Somewhat related,Unpersonalized,Above average,0-2 years,0
84,1,Female,40,Black,Physical disability,American,Associate Degree,Closely related,Personalized,Below average,10+ years,1
85,1,Non-binary,35,White,Mental health history,German,Master Degree,Somewhat related,Unpersonalized,Below average,3-7 years,0
86,1,Non-binary,55,Black,None stated,Mexican,Master Degree,Closely related,Unpersonalized,Average,10+ years,1
87,1,Non-binary,35,Black,Physical disability,American,Associate Degree,Somewhat related,Unpersonalized,Average,3-7 years,0
88,1,Female,30,Black,Mental health history,Indian,Bachelor Degree,Closely related,Personalized,Average,0-2 years,0
89,1,Male,35,Black,Physical disability,German,Master Degree,Unrelated,Unpersonalized,Average,10+ years,0
90,1,Male,30,Black,None stated,Mexican,Master Degree,Somewhat related,Unpersonalized,Above average,10+ years,1
91,1,Male,45,Black,Physical disability,Mexican,Associate Degree,Closely related,Unpersonalized,Average,3-7 years,0
92,1,Non-binary,40,Black,Mental health history,Canadian,Master Degree,Somewhat related,Unpersonalized,Average,0-2 years,0
