observation_id,scenario,gender,age,race,disability_status,nationality,monthly_income,rental_history,employment_status,credit_check,deposit_offered,chosen
1,1,Male,40,Hispanic,None stated,Mexican,4x the rent,Positive references,Part-time,Excellent,1 month deposit,1
2,1,Non-binary,40,Hispanic,None stated,Canadian,4x the rent,Prior late payments,Part-time,Good,3 months deposit,1
3,1,Non-binary,50,Black,Mental health history,American,4x the rent,No prior rental history,Full-time,Excellent,3 months deposit,1
4,1,Non-binary,55,Hispanic,Physical disability,Mexican,4x the rent,Positive references,Part-time,Excellent,1 month deposit,1
5,1,Non-binary,55,White,Physical disability,Mexican,2x the rent,No prior rental history,Part-time,Good,2 months deposit,1
6,1,Female,45,White,Mental health history,German,2x the rent,Positive references,Part-time,Fair,2 months deposit,1
7,1,Male,50,Asian,Mental health history,Indian,2x the rent,No prior rental history,Self-employed,Excellent,3 months deposit,1
8,1,Non-binary,55,Hispanic,Mental health history,American,3x the rent,Positive references,Part-time,Good,3 months deposit,1
9,1,Male,40,White,Physical disability,Indian,3x the rent,Positive references,Part-time,Good,3 months deposit,1
10,1,Female,45,Black,Physical disability,German,2x the rent,Prior late payments,Part-time,Excellent,2 months deposit,0
11,1,Non-binary,45,Black,Mental health history,Mexican,3x the rent,Prior late payments,Self-employed,Good,3 months deposit,1
12,1,Male,30,White,None stated,Mexican,2x the rent,Positive references,Self-employed,Excellent,1 month deposit,1
13,1,Non-binary,30,Black,None stated,American,2x the rent,No prior rental history,Part-time,Excellent,1 month deposit,1
14,1,Male,45,Asian,Physical disability,American,2x the rent,Positive references,Self-employed,Fair,2 months deposit,1
15,1,Female,30,Black,None stated,Mexican,2x the rent,Prior late payments,Self-employed,Good,2 months deposit,0
16,1,Non-binary,45,White,Physical disability,Canadian,3x the rent,No prior rental history,Self-employed,Fair,2 months deposit,0
17,1,Male,55,White,Mental health history,American,2x the rent,Prior late payments,Self-employed,Good,3 months deposit,0
18,1,Female,45,White,Physical disability,Indian,3x the rent,Positive references,Full-time,Good,2 months deposit,1
19,1,Non-binary,35,White,Mental health history,German,4x the rent,Positive references,Part-time,Excellent,3 months deposit,1
20,1,Male,30,Asian,Mental health history,Indian,4x the rent,Positive references,Self-employed,Excellent,2 months deposit,1
21,1,Non-binary,50,Black,Mental health history,American,4x the rent,Positive references,Self-employed,Good,1 month deposit,1
22,1,Non-binary,45,Asian,None stated,Indian,3x the rent,Positive references,Full-time,Good,1 month deposit,1
23,1,Non-binary,50,Hispanic,Physical disability,German,4x the rent,No prior rental history,Part-time,Excellent,2 months deposit,1
